Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3,Total Connectivity R3
416,27,1.7841618,128,0.041795666,0.554299557,0.259100642
417,31,1.7488363,153,0.047987616,0.540803193,0.312633833
418,60,2.1876149,243,0.092879257,0.708441746,0.505353319
419,18,1.8950547,193,0.027863777,0.596666995,0.398286938
420,14,2.0729513,239,0.021671827,0.664633684,0.496788009
421,29,1.8880572,162,0.044891641,0.593993549,0.331905782
422,7,2.0991912,233,0.010835913,0.674658828,0.483940043
423,1,1.3443909,88,0.001547988,0.386281888,0.173447537
424,7,1.6071428,114,0.010835913,0.486668161,0.229122056
425,12,1.390353,79,0.018575851,0.403842043,0.154175589
426,7,1.1208336,80,0.010835913,0.300870197,0.156316916
427,19,1.6819378,179,0.029411765,0.515244135,0.368308351
428,3,1.5872986,153,0.004643963,0.479086541,0.312633833
429,7,1.9643579,212,0.010835913,0.623144786,0.438972163
430,86,1.9999412,182,0.133126935,0.636739645,0.374732334
431,97,2.2292216,250,0.150154799,0.724337888,0.520342612
432,38,1.7429162,136,0.058823529,0.538541375,0.276231263
433,60,1.9565217,80,0.092879257,0.620150909,0.156316916
434,13,1.4635203,66,0.020123839,0.431796141,0.12633833
435,7,1.4635203,66,0.010835913,0.431796141,0.12633833
436,18,1.550553,49,0.027863777,0.465047617,0.08993576
437,41,1.7217885,52,0.063467492,0.530469384,0.096359743
438,30,1.6042534,65,0.046439628,0.485564245,0.124197002
439,6,1.1191936,50,0.009287926,0.300243623,0.092077088
440,14,1.3076391,49,0.021671827,0.372240596,0.08993576
441,8,1.2123377,42,0.012383901,0.335830004,0.074946467
442,27,1.8805417,204,0.041795666,0.591122198,0.421841542
443,4,1.25,106,0.00619195,0.350219159,0.211991435
444,13,1.5346701,130,0.020123839,0.45897944,0.263383298
445,91,2.2394953,231,0.140866873,0.728263029,0.479657388
446,5,1.7802029,216,0.007739938,0.55278703,0.447537473
447,0,1.7802029,216,0,0.55278703,0.447537473
448,4,1.7802029,216,0.00619195,0.55278703,0.447537473
449,11,1.9582232,211,0.017027864,0.62080098,0.436830835
450,66,1.8344558,101,0.102167183,0.573514745,0.201284797
451,123,2.0682282,203,0.190402477,0.662829189,0.419700214
452,3,1.3443909,79,0.004643963,0.386281888,0.154175589
453,6,1.3455029,85,0.009287926,0.386706736,0.167023555
454,17,1.7601773,191,0.026315789,0.545136104,0.394004283
455,9,1.3746208,87,0.013931889,0.397831441,0.17130621
456,10,1.3636364,91,0.015479876,0.393634772,0.17987152
457,2,1.3746208,87,0.003095975,0.397831441,0.17130621
458,5,1.3746208,87,0.007739938,0.397831441,0.17130621
459,11,1.7702218,194,0.017027864,0.548973678,0.400428266
