Cluster_Kmeans_740984,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
2,414,50,1.8912494,154,0.060606061,0.58623029,0.327394209
2,415,112,2.3628452,297,0.135757576,0.763687696,0.645879733
2,416,22,1.6992515,155,0.026666667,0.513983147,0.329621381
3,417,8,1.0952908,58,0.00969697,0.286717978,0.113585746
3,418,6,0.8870222,29,0.007272727,0.208348312,0.048997773
3,419,8,0.98558021,22,0.00969697,0.245434836,0.033407572
3,420,12,1.2222222,23,0.014545455,0.334481162,0.035634744
2,421,0,1.9276668,239,0,0.599933842,0.516703786
2,422,105,2.4240115,317,0.127272727,0.786704044,0.690423163
1,423,697,2.9571676,296,0.844848485,0.987326057,0.643652561
2,424,243,2.520977,282,0.294545455,0.82319132,0.61247216
3,425,12,1.2241485,77,0.014545455,0.335206012,0.155902004
3,426,8,0.98558021,25,0.00969697,0.245434836,0.040089087
3,427,6,0.8619656,19,0.007272727,0.198919731,0.026726058
